,Unnamed: 0,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
0,,,"ABRAZADERAS ""APRET"" AA LIVIANA",0.0,#REF!,#REF!,#REF!
1,,AA24,ABRAZADERA SERIE AA-24   9.5 mm.,163.64,#REF!,#REF!,#REF!
2,,AA25,ABRAZADERA SERIE AA-25  12 mm.,179.16,#REF!,#REF!,#REF!
3,,AA26,ABRAZADERA SERIE AA-26  15 mm.,201.33,#REF!,#REF!,#REF!
4,,AA27,ABRAZADERA SERIE AA-27  19 mm.,211.97,#REF!,#REF!,#REF!
5,,,,0.0,#REF!,#REF!,#REF!
6,,,"ABRAZADERAS ""APRET"" AC  ANCHA",0.0,#REF!,#REF!,#REF!
7,,AC25,ABRAZADERA SERIE AC    25 a 13 mm.,301.47,#REF!,#REF!,#REF!
8,,AC27,ABRAZADERA SERIE AC    27 a 18 mm.,305.75,#REF!,#REF!,#REF!
9,,AC32,ABRAZADERA SERIE AC    32 a 20 mm.,335.68,#REF!,#REF!,#REF!
10,,AC35,ABRAZADERA SERIE AC    35 a 23 mm.,344.23,#REF!,#REF!,#REF!
11,,AC40,ABRAZADERA SERIE AC    40 a 25 mm.,354.92,#REF!,#REF!,#REF!
12,,AC45,ABRAZADERA SERIE AC    45 a 30 mm.,360.91,#REF!,#REF!,#REF!
13,,AC50,ABRAZADERA SERIE AC    50 a 32 mm.,360.91,#REF!,#REF!,#REF!
14,,AC55,ABRAZADERA SERIE AC    55 a 40 mm.,369.46,#REF!,#REF!,#REF!
15,,AC60,ABRAZADERA SERIE AC    60 a 45 mm.,392.13,#REF!,#REF!,#REF!
16,,AC70,ABRAZADERA SERIE AC    70 a 50 mm.,395.12,#REF!,#REF!,#REF!
17,,AC85,ABRAZADERA SERIE AC    85 a 65 mm.,416.07,#REF!,#REF!,#REF!
18,,AC100,ABRAZADERA SERIE AC   100 a 80 mm.,429.33,#REF!,#REF!,#REF!
19,,AC115,ABRAZADERA SERIE AC   115 a 95 mm.,494.75,#REF!,#REF!,#REF!
20,,AC130,ABRAZADERA SERIE AC   130 a 110 mm.,525.11,#REF!,#REF!,#REF!
21,,AC145,ABRAZADERA SERIE AC   145 a 125 mm.,587.97,#REF!,#REF!,#REF!
