,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
0,1,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE AC   130 a 110 mm.,AC130,',',0,0,0,unidad,0.21,CAVALLFER,0,0,388.4297521,471.77195174999997,,470.0,470,SI,SI,NO,0.0,0.0,,,
1,2,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 12 a 8 mm.,ACA12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,132.231405,159.43450049999998,,160.0,160,SI,SI,NO,0.0,0.0,,,
2,3,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 13 a 10 mm.,ACA13,',',0,0,0,unidad,0.21,CAVALLFER,0,0,148.7603306,177.492843,,180.0,180,SI,SI,NO,0.0,0.0,,,
3,4,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 16 a 10 mm.,ACA16,',',0,0,0,unidad,0.21,CAVALLFER,0,0,181.8181818,218.59578674999997,,220.0,220,SI,SI,NO,0.0,0.0,,,
4,5,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 20 a 12 mm.,ACA20,',',0,0,0,unidad,0.21,CAVALLFER,0,0,181.8181818,223.9773525,,220.0,220,SI,SI,NO,0.0,0.0,,,
5,6,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 25 a 16 mm.,ACA25,',',0,0,0,unidad,0.21,CAVALLFER,0,0,190.0826446,229.745241,,230.0,230,SI,SI,NO,0.0,0.0,,,
6,7,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 32 a 20 mm.,ACA32,',',0,0,0,unidad,0.21,CAVALLFER,0,0,206.6115702,247.41726074999997,,250.0,250,SI,SI,NO,0.0,0.0,,,
7,8,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 40 a 25 mm.,ACA40,',',0,0,0,unidad,0.21,CAVALLFER,0,0,206.6115702,248.95356750000002,,250.0,250,SI,SI,NO,0.0,0.0,,,
8,9,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 45 a 30 mm.,ACA45,',',0,0,0,unidad,0.21,CAVALLFER,0,0,214.8760331,256.63510124999993,,260.0,260,SI,SI,NO,0.0,0.0,,,
9,10,Habilitado,SI,SI,NO,NO,,ABRAZADERA SERIE ACA 50 a 32 mm.,ACA50,',',0,0,0,unidad,0.21,CAVALLFER,0,0,214.8760331,263.166651,,260.0,260,SI,SI,NO,0.0,0.0,,,
