,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,0.45,DESCUENTO,,,,
1,,,MARGEN,,,,
2,,,,,,,
3,,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
4,,,"ABRAZADERAS ""APRET"" AA LIVIANA",0,0,0,0
5,,AA24,ABRAZADERA SERIE AA-24   9.5 mm.,163.64,73.63799999999999,89.10197999999998,147.01826699999995
6,,AA25,ABRAZADERA SERIE AA-25  12 mm.,179.16,80.622,97.55261999999999,160.96182299999998
7,,AA26,ABRAZADERA SERIE AA-26  15 mm.,201.33,90.5985,109.624185,180.87990524999998
8,,AA27,ABRAZADERA SERIE AA-27  19 mm.,211.97,95.3865,115.417665,190.43914725
9,,,,0,0,0,0
10,,,"ABRAZADERAS ""APRET"" AC  ANCHA",0,0,0,0
11,,AC25,ABRAZADERA SERIE AC    25 a 13 mm.,301.47,135.66150000000002,164.150415,270.84818475
12,,AC27,ABRAZADERA SERIE AC    27 a 18 mm.,305.75,137.5875,166.480875,274.69344375
13,,AC32,ABRAZADERA SERIE AC    32 a 20 mm.,335.68,151.056,182.77776,301.583304
14,,AC35,ABRAZADERA SERIE AC    35 a 23 mm.,344.23,154.9035,187.433235,309.26483774999997
15,,AC40,ABRAZADERA SERIE AC    40 a 25 mm.,354.92,159.714,193.25394,318.86900099999997
16,,AC45,ABRAZADERA SERIE AC    45 a 30 mm.,360.91,162.4095,196.51549500000002,324.25056675
17,,AC50,ABRAZADERA SERIE AC    50 a 32 mm.,360.91,162.4095,196.51549500000002,324.25056675
18,,AC55,ABRAZADERA SERIE AC    55 a 40 mm.,369.46,166.257,201.17097,331.9321005
19,,AC60,ABRAZADERA SERIE AC    60 a 45 mm.,392.13,176.45850000000002,213.51478500000002,352.29939525000003
20,,AC70,ABRAZADERA SERIE AC    70 a 50 mm.,395.12,177.804,215.14284,354.985686
21,,AC85,ABRAZADERA SERIE AC    85 a 65 mm.,416.07,187.2315,226.550115,373.80768975
22,,AC100,ABRAZADERA SERIE AC   100 a 80 mm.,429.33,193.1985,233.770185,385.72080524999996
23,,AC115,ABRAZADERA SERIE AC   115 a 95 mm.,494.75,222.63750000000002,269.39137500000004,444.49576875
24,,AC130,ABRAZADERA SERIE AC   130 a 110 mm.,525.11,236.29950000000002,285.922395,471.77195174999997
25,,AC145,ABRAZADERA SERIE AC   145 a 125 mm.,587.97,264.5865,320.14966499999997,528.24694725
26,,AC160,ABRAZADERA SERIE AC   160 a 140 mm.,664.09,298.8405,361.597005,596.63505825
27,,AC175,ABRAZADERA SERIE AC   175 a 155 mm.,992.07,446.4315,540.1821150000001,891.3004897500001
28,,AC190,ABRAZADERA SERIE AC   190 a 170 mm.,1122.07,504.93149999999997,610.9671149999999,1008.0957397499998
29,,AC195,ABRAZADERA SERIE AC   195 a 175 mm.,1122.07,504.93149999999997,610.9671149999999,1008.0957397499998
30,,ASF,ABRAZADERA SIN FIN (C/ 10 HEBILLAS) x 10 mts.,19030.46,8563.707,10362.08547,17097.4410255
31,,EXA,"EXHIBIDOR DE ABRAZADERAS ""APRET"" 263 unid.",70154.47,31569.5115,38199.108915,63028.52970974999
32,,HASF,HEBILLAS P/ ABRAZADERA SIN FIN (10 unid),4245.45,1910.4524999999999,2311.647525,3814.2184162499993
33,,,,0,0,0,0
34,,,"ABRAZADERAS ""APRET"" ACA  ANGOSTA",0,0,0,0
35,,ACA12,ABRAZADERA SERIE ACA 12 a 8 mm.,177.46,79.857,96.62697,159.43450049999998
36,,ACA13,ABRAZADERA SERIE ACA 13 a 10 mm.,197.56,88.902,107.57142,177.492843
37,,ACA16,ABRAZADERA SERIE ACA 16 a 10 mm.,243.31,109.4895,132.482295,218.59578674999997
38,,ACA20,ABRAZADERA SERIE ACA 20 a 12 mm.,249.3,112.185,135.74385,223.9773525
39,,ACA25,ABRAZADERA SERIE ACA 25 a 16 mm.,255.72,115.074,139.23954,229.745241
40,,ACA32,ABRAZADERA SERIE ACA 32 a 20 mm.,275.39,123.9255,149.94985499999999,247.41726074999997
41,,ACA40,ABRAZADERA SERIE ACA 40 a 25 mm.,277.1,124.69500000000001,150.88095,248.95356750000002
42,,ACA45,ABRAZADERA SERIE ACA 45 a 30 mm.,285.65,128.5425,155.53642499999998,256.63510124999993
43,,ACA50,ABRAZADERA SERIE ACA 50 a 32 mm.,292.92,131.81400000000002,159.49494,263.166651
44,,ACA55,ABRAZADERA SERIE ACA 55 a 40 mm.,300.62,135.279,163.68759,270.0845235
45,,ACA60,ABRAZADERA SERIE ACA 60 a 40 mm.,307.46,138.357,167.41197,276.22975049999997
46,,ACA70,ABRAZADERA SERIE ACA 70 a 50 mm.,313.87,141.2415,170.90221499999998,281.98865474999997
47,,ACA75,ABRAZADERA SERIE ACA 75 a 60 mm.,313.87,141.2415,170.90221499999998,281.98865474999997
48,,,,0,0,0,0
49,,,"ABRAZADERAS ""APRET"" AFC COMPACTA",0,0,0,0
50,,AFC8,ABRAZADERA SERIE AFC  8.5 a 6 mm.,172.76,77.742,94.06782,155.21190299999998
51,,AFC10,ABRAZADERA SERIE AFC 10.5 a 8 mm.,194.14,87.363,105.70922999999999,174.42022949999998
52,,AFC12,ABRAZADERA SERIE AFC 12.5 a 10 mm.,194.14,87.363,105.70922999999999,174.42022949999998
53,,AFC14,ABRAZADERA SERIE AFC 14.5 a 12 mm.,224.07,100.8315,122.00611500000001,201.31008975
54,,AFC16,ABRAZADERA SERIE AFC 16.5 a 14 mm.,224.07,100.8315,122.00611500000001,201.31008975
55,,,,0,0,0,0
56,,,"ABRAZADERAS ""APRET"" AP ALTA PRESION",0,0,0,0
57,,AP5,ABRAZADERA SERIE   AP-5   27 a 25 mm.,859,386.55,467.7255,771.747075
58,,AP6,ABRAZADERA SERIE   AP-6   29 a 27 mm.,895.94,403.17300000000006,487.8393300000001,804.9348945
59,,AP7,ABRAZADERA SERIE   AP-7   31 a 29 mm.,1098.22,494.199,597.98079,986.6683034999999
60,,AP8,ABRAZADERA SERIE   AP-8   34 a 31 mm.,1128.24,507.708,614.32668,1013.639022
61,,AP9,ABRAZADERA SERIE   AP-9   37 a 34 mm.,1155.49,519.9705,629.164305,1038.12110325
62,,AP10,ABRAZADERA SERIE  AP-10  40 a 37 mm.,1195.21,537.8445,650.7918450000001,1073.8065442500001
63,,AP11,ABRAZADERA SERIE  AP-11  43 a 40 mm.,1284.8,578.16,699.5735999999999,1154.2964399999998
64,,AP12,ABRAZADERA SERIE  AP-12  47 a 43 mm.,1331.45,599.1525,724.974525,1196.2079662499998
65,,,,0,0,0,0
66,,,ACCESORIOS CORTINA,0,0,0,0
67,,GGR,ACC. P/CORTINA GRAMPAS GIRATORIAS REF.,495.94,223.173,270.03933,445.5648945
