,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,,ABRAZADERA SERIE AC   130 a 110 mm.,AC130
1,,ABRAZADERA SERIE ACA 12 a 8 mm.,ACA12
2,,ABRAZADERA SERIE ACA 13 a 10 mm.,ACA13
3,,ABRAZADERA SERIE ACA 16 a 10 mm.,ACA16
4,,ABRAZADERA SERIE ACA 20 a 12 mm.,ACA20
5,,ABRAZADERA SERIE ACA 25 a 16 mm.,ACA25
6,,ABRAZADERA SERIE ACA 32 a 20 mm.,ACA32
7,,ABRAZADERA SERIE ACA 40 a 25 mm.,ACA40
8,,ABRAZADERA SERIE ACA 45 a 30 mm.,ACA45
9,,ABRAZADERA SERIE ACA 50 a 32 mm.,ACA50
10,,ABRAZADERA SERIE ACA 55 a 40 mm.,ACA55
11,,ABRAZADERA SERIE ACA 60 a 40 mm.,ACA60
12,,ABRAZADERA SERIE ACA 70 a 50 mm.,ACA70
13,,ABRAZADERA SERIE ACA 75 a 60 mm.,ACA75
14,,"CODO ENCHUFE ENCHUFE DOBLE DE 1""",CEED1
15,,CODO ENCHUFE ENCHUFE DOBLE DE 1/2,CEED12
16,,CODO ENCHUFE ENCHUFE DOBLE DE 3/4,CEED34
17,,"CODO ENCHUFE ROSCA HEMBRA DE 1""",CERH1
18,,CODO ENCHUFE ROSCA HEMBRA DE 1/2,CERH12
19,,CODO ENCHUFE ROSCA HEMBRA DE 3/4,CERH34
20,,ENCHUFE DOBLE REDUCC. REF. 3/4 A 1/2,EDR3412
21,,ENCHUFE DOBLE REDUCCION 1- 3/4,EDR134
22,,"ENCHUFE DOBLE REDUCCION 1""-1/2",EDR112
23,,"ENCHUFE DOBLE REF.  1""",ED1
24,,"ENCHUFE DOBLE REF. 1/2""",ED12
25,,"ENCHUFE DOBLE REF. 3/4""",ED34
26,,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 1/2,ERH112
27,,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 3/4,ERH134
28,,ENCHUFE REDUCCION ROSCA HEMBRA 1/2 - 3/4,ERH1234
29,,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1,ERH341
30,,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1/2,ERH3412
31,,"ENCHUFE REDUCCION ROSCA MACHO  1"" - 1/2",ERM112
32,,"ENCHUFE REDUCCION ROSCA MACHO 1"" - 3/4",ERM134
33,,ENCHUFE REDUCCION ROSCA MACHO 1/2 - 3/4,ERM1234
34,,"ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1""",ERM341
35,,ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1/2,ERM3412
36,,"ENCHUFE RH REFORZADA DE 1""",ERH1
37,,ENCHUFE RH REFORZADO 1/2,ERH12
38,,ENCHUFE RH REFORZADO 3/4,ERH34
39,,ENCHUFE RM REFORZADA DE 1/2,EM12
40,,ENCHUFE RM REFORZADA DE 3/4,EM34
41,,"ENCHUFE RM REFORZADO DE 1 """,EM1
42,,"TEE ENCHUFE ENCHUFE DOBLE 1""",TEED1
43,,TEE ENCHUFE ENCHUFE DOBLE 1/2,TEED12
44,,TEE ENCHUFE ENCHUFE DOBLE 3/4,TEED34
45,,"TEE ENCHUFE ROSCA HEMBRA 1""",TERH1
46,,TEE ENCHUFE ROSCA HEMBRA 1/2,TERH12
47,,TEE ENCHUFE ROSCA HEMBRA 3/4,TERH34
48,,"BUJE REDUCCION  3/4"" a 1/2""",BR3412
49,,"BUJE REDUCCION 1"" a 1/2""",BR112
50,,"BUJE REDUCCION 1"" a 3/4""",BR134
51,,"CODO REDUCCION RHH  3/4"" a 1/2""",COR3412
52,,"CODO REDUCCION RHH 1"" a 3/4""",COR134
53,,"CODO RHH REFORZADA   1/2""",COHH12
54,,"CODO RHH REFORZADA  3/4""",COHH34
55,,"CODO RHH REFORZADA 1""",COHH1
56,,"CODO RMH REFORZADA   1/2""",COMH12
57,,CODO RMH REFORZADA  3/4,COMH34
58,,"CODO RMH REFORZADA 1""",COMH1
59,,"CONEXION TANQUE COMPLETO   1/2""",CTC12
60,,"CONEXION TANQUE COMPLETO  3/4""",CTC34
61,,"CONEXION TANQUE COMPLETO 1""",CTC1
62,,"CUPLA REDUCCION 1"" a 1/2""",CU112
63,,"CUPLA REDUCCION 1"" a 3/4""",CU134
64,,"CUPLA REDUCCION 3/4"" a 1/2""",CU3412
65,,"CUPLA REFORZADA   1/2""",CU12
66,,"CUPLA REFORZADA  3/4""",CU34
67,,"CUPLA REFORZADA 1""",CU1
68,,"CURVA RHH a 45     1/2""",CHH4512
69,,"CURVA RHH a 45    3/4""",CHH4534
70,,"CURVA RHH a 45   1""",CHH451
71,,"CURVA RHH a 90     1/2""",CHH9012
72,,"CURVA RHH a 90    3/4""",CHH9034
73,,"CURVA RHH a 90   1""",CHH901
74,,"CURVA RMH a 45     1/2""",CMH4512
75,,"CURVA RMH a 45    3/4""",CMH4534
76,,"CURVA RMH a 45   1""",CMH451
77,,"CURVA RMH a 90     1/2""",CMH9012
78,,"CURVA RMH a 90    3/4""",CMH9034
79,,"CURVA RMH a 90   1""",CMH901
80,,"ENTRE ROSCA REDUCCION  3/4"" a 1/2""",ERR3412
81,,"ENTRE ROSCA REDUCCION 1"" a 1/2""",ERR112
82,,"ENTRE ROSCA REDUCCION 1"" a 3/4""",ERR134
83,,"ENTRE ROSCA REF.   1/2""",ER12
84,,"ENTRE ROSCA REF.  3/4""",ER34
85,,"ENTRE ROSCA REF. 1""",ER1
86,,"NIPLE REF.   1/2"" x   20 cm.",N2012
87,,"NIPLE REF.   1/2"" x   6 cm.",N612
88,,"NIPLE REF.   1/2"" x  8 cm.",N812
89,,"NIPLE REF.   1/2"" x 10 cm.",N1012
90,,"NIPLE REF.   1/2"" x 12 cm.",N1212
91,,"NIPLE REF.   1/2"" x 15 cm.",N1512
92,,"NIPLE REF.  3/4"" x   20 cm.",N2034
93,,"NIPLE REF.  3/4"" x   6 cm.",N634
94,,"NIPLE REF.  3/4"" x  8 cm.",N834
95,,"NIPLE REF.  3/4"" x 10 cm.",N1034
96,,"NIPLE REF.  3/4"" x 12 cm.",N1234
97,,"NIPLE REF.  3/4"" x 15 cm.",N1534
98,,"NIPLE REF. 1"" x   20 cm.",N201
99,,"NIPLE REF. 1"" x   6 cm.",N61
100,,"NIPLE REF. 1"" x  8 cm.",N81
101,,"NIPLE REF. 1"" x 10 cm.",N101
102,,"NIPLE REF. 1"" x 12 cm.",N121
103,,"NIPLE REF. 1"" x 15 cm.",N151
104,,"TAPA RH  REF.  1/2""",TH12
105,,"TAPA RH REF.  3/4""",TH34
106,,"TAPA RH REF. 1""",TH1
107,,"TAPON RM REF.   1/2""",TM12
108,,"TAPON RM REF.  3/4""",TM34
109,,"TAPON RM REF. 1""",TM1
110,,"TEE RED. RHHH REF.   3/4"" a 1/2""",TR3412
111,,"TEE RED. RHHH REF.  1"" a 1/2""",TR112
112,,"TEE RED. RHHH REF. 1"" a 3/4""",TR134
113,,TEE RHHH  REF.   1/2,TE12
114,,TEE RHHH  REF.  3/4,TE34
115,,"TEE RHHH  REF. 1""",TE1
116,,"UNION DOBLE RHH REF.   1/2"" C/JUNTA",UD12
117,,"UNION DOBLE RHH REF.  3/4"" C/JUNTA",UD34
118,,"UNION DOBLE RHH REF. 1"" C/ JUNTA",UD1
119,,BUJE REDUCCION FUSION  25 X 20,BRF2520
120,,BUJE REDUCCION FUSION  32 X  20,BRF3220
121,,BUJE REDUCCION FUSION 32 X 25,BRF3225
122,,CODO 45¦ FUSION 20 mm,CF4520
123,,CODO 45¦ FUSION 25 mm,CF4525
124,,CODO 45¦ FUSION 32 mm,CF4532
125,,CODO 90¦ FUSION 20 mm,CF9020
126,,CODO 90¦ FUSION 25 mm,CF9025
127,,CODO 90¦ FUSION 32 mm,CF9032
128,,CODO 90¦ FUSION INS. MET. HEMBRA 20 mm x 1/2,COFH2012
129,,CODO 90¦ FUSION INS. MET. HEMBRA 25 mm x 1/2,COFH2512
130,,CODO 90¦ FUSION INS. MET. HEMBRA 25 mm x 3/4,COFH2534
131,,CODO 90¦ FUSION INS. MET. HEMBRA 32 mm x  3/4,COFH3234
132,,CODO 90¦ FUSION INS. MET. HEMBRA 32 mm x 1,COFH321
133,,CODO 90¦ FUSION INS. MET. MACHO 20 mm x 1/2,COFM2012
134,,CODO 90¦ FUSION INS. MET. MACHO 25 mm x 1/2,COFM2512
135,,CODO 90¦ FUSION INS. MET. MACHO 25 mm x 3/4,COFM2534
136,,CODO 90¦ FUSION INS. MET. MACHO 32 mm x  3/4,COFM3234
137,,CODO 90¦ FUSION INS. MET. MACHO 32 mm x 1,COFM321
138,,CUPLA FUSION 20 mm,CF20
139,,CUPLA FUSION 25 mm,CF25
140,,CUPLA FUSION 32 mm,CF32
141,,CUPLA FUSION INS. MET. HEMBRA 20 mm x  3/8,CFH2038
142,,CUPLA FUSION INS. MET. HEMBRA 20 mm x 1/2,CFH2012
143,,CUPLA FUSION INS. MET. HEMBRA 25 mm x 1/2,CFH2512
144,,CUPLA FUSION INS. MET. HEMBRA 25 mm x 3/4,CFH2534
145,,CUPLA FUSION INS. MET. HEMBRA 32 mm x  3/4,CFH3234
146,,CUPLA FUSION INS. MET. HEMBRA 32 mm x 1,CFH321
147,,CUPLA FUSION INS. MET. MACHO 20 mm x 1/2,CFM2012
148,,CUPLA FUSION INS. MET. MACHO 20 mm x 3/4,CFM2034
149,,CUPLA FUSION INS. MET. MACHO 25 mm x 1/2,CFM2512
150,,CUPLA FUSION INS. MET. MACHO 25 mm x 3/4,CFM2534
151,,CUPLA FUSION INS. MET. MACHO 32 mm x  3/4,CFM3234
152,,CUPLA FUSION INS. MET. MACHO 32 mm x 1,CFM321
153,,CUPLA REDUCCION FUSION 25 mm x 20 mm,CUR2520
154,,CUPLA REDUCCION FUSION 32 mm x 20 mm,CUR3220
155,,CUPLA REDUCCION FUSION 32 mm x 25 mm,CUR3225
156,,LLAVE DE PASO FUSION C/ CABEZAL BRONCE 20 mm,LLCB20
157,,LLAVE DE PASO FUSION C/ CABEZAL BRONCE 25 mm,LLCB25
158,,LLAVE DE PASO FUSION C/ CABEZAL BRONCE 32 mm,LLCB32
159,,LLAVE DE PASO FUSION C/ CABEZAL PLASTICO 20 mm,LLCP20
160,,LLAVE DE PASO FUSION C/ CABEZAL PLASTICO 25 mm,LLCP25
161,,LLAVE DE PASO FUSION C/ CABEZAL PLASTICO 32 mm,LLCP32
162,,LLAVE DE PASO FUSION CIERRE POLIAMIDA 20 mm,LLPO20
163,,LLAVE DE PASO FUSION CIERRE POLIAMIDA 25 mm,LLPO25
164,,LLAVE DE PASO FUSION CIERRE POLIAMIDA 32 mm,LLPO32
165,,SOBREPASO FUSION 20 mm,SF20
166,,SOBREPASO FUSION 25 mm,SF25
167,,SOBREPASO FUSION 32 mm,SF32
168,,TAPA FUSION 20 mm,TF20
169,,TAPA FUSION 25 mm,TF25
170,,TAPA FUSION 32 mm,TF32
171,,TEE FUSION 20 mm,TEF20
172,,TEE FUSION 25 mm,TEF25
173,,TEE FUSION 32 mm,TEF32
174,,TEE FUSION INS. MET. HEMBRA 20 mm x 1/2,TH2012
175,,TEE FUSION INS. MET. HEMBRA 25 mm x 1/2,TH2512
176,,TEE FUSION INS. MET. HEMBRA 25 mm x 3/4,TH2534
177,,TEE FUSION INS. MET. HEMBRA 32 mm x  3/4,TH3234
178,,TEE FUSION INS. MET. HEMBRA 32 mm x 1,TH321
179,,TEE FUSION INS. MET. MACHO 20 mm x 1/2,TM2012
180,,TEE FUSION INS. MET. MACHO 25 mm x 1/2,TM2512
181,,TEE FUSION INS. MET. MACHO 25 mm x 3/4,TM2534
182,,TEE FUSION INS. MET. MACHO 32 mm x  3/4,TM3234
183,,TEE FUSION INS. MET. MACHO 32 mm x 1,TM321
184,,TEE REDUCCION FUSION 25 mm x 20 mm,TRF2520
185,,TEE REDUCCION FUSION 32 mm x 20 mm,TRF3220
186,,UNION DOBLE FUSION - FUSION 20 mm,UDF20
187,,UNION DOBLE FUSION - FUSION 25 mm,UDF25
188,,UNION DOBLE FUSION - FUSION 32 mm,UDF32
189,,UNION DOBLE FUSION - INS. MET. HEMBRA 20 x 1/2,UH2012
190,,UNION DOBLE FUSION - INS. MET. HEMBRA 25 x 3/4,UH2534
191,,UNION DOBLE FUSION - INS. MET. HEMBRA 32 x 1,UH321
192,,UNION DOBLE FUSION - INS. MET. MACHO 20 x 1/2,UM2012
193,,UNION DOBLE FUSION - INS. MET. MACHO 25 x 3/4,UM2534
194,,UNION DOBLE FUSION - INS. MET. MACHO 32 x 1,UM321
195,,ESLABON CON TUERCA  3.5,ECT35
196,,ESLABON CON TUERCA  5,ECT5
197,,ESLABON CON TUERCA  7,ECT6
198,,ESLABON CON TUERCA  9,ECT8
199,,GRILLETE        1/4,GRI14
200,,GRILLETE       5/16,GRI516
201,,GRILLETE      3/8,GRI38
202,,GRILLETE    1/2,GRI12
203,,MOSQUETON TIPO PERA  5 x 50,MP550
204,,MOSQUETON TIPO PERA  6 x 60,MP660
205,,MOSQUETON TIPO PERA  7 x 70,MP770
206,,MOSQUETON TIPO PERA  8 x 80,MP880
207,,MOSQUETON TIPO PERA  9 x 90,MP990
208,,MOSQUETON TIPO PERA 10 x 100,MP10100
209,,ACOPLE RAPIDO 1/2 P/ MANG 3/4 ( RIE 3053),RIE3053
